epoch,train_dice_loss
1,0.74784385950669
2,0.7112683440680089
3,0.6778403025606404
4,0.6444465600925943
5,0.6222338557243348
6,0.6234808320584504
7,0.5871137367642444
8,0.5822980957186741
9,0.5635079302217649
10,0.5431894806416139
11,0.5370845442232879
12,0.5251479608857114
13,0.5082577612089074
14,0.5052484534356905
15,0.4935780495405197
16,0.49381152572839154
17,0.4902262497207393
18,0.4726317917523177
19,0.4695715623057407
20,0.4602511238792668
21,0.4571168636498244
22,0.4483963956003604
23,0.45156184175740116
24,0.4449942593989165
25,0.44121165301488796
26,0.4324055079532706
27,0.42187234914821126
28,0.41959418874719867
29,0.4255626773704653
30,0.4107896677825762
31,0.3955066544854123
32,0.39652871819941893
33,0.4006767600774765
34,0.3845296838361284
35,0.38692957344262496
36,0.385758271554242
37,0.3837962574932886
38,0.3739539329124534
39,0.37769367843866347
40,0.37028900669968645
41,0.3673333467996639
42,0.3657556735303091
43,0.3549690013346465
44,0.3390450682329095
45,0.33697630322497824
46,0.3575954794883728
47,0.34639571425707444
48,0.32924575740876405
49,0.32069958156865574
50,0.3114093718321427
