epoch,train_dice_loss
1,0.6584971543231042
2,0.5591229268538407
3,0.5258652904194684
4,0.509459800125467
5,0.49511423642079555
6,0.4751879349513251
7,0.47132388374124995
8,0.4668780467219342
9,0.45851117080333187
10,0.45319687307270523
11,0.4489985677151898
12,0.4366805178797063
13,0.4337580420222937
14,0.4285817681963927
15,0.42656750837442403
16,0.4142779359565581
17,0.41367388609188055
18,0.40958264112991966
19,0.4024094380194845
20,0.3974028126801281
21,0.39742589814990176
22,0.39196361750688946
23,0.38129454958283043
24,0.3780967837650012
25,0.3705414819951151
26,0.36722596986361317
27,0.3750092227799181
28,0.3577318096732262
29,0.34992827419881467
30,0.361430775366058
31,0.3413686127054925
32,0.3377054833313998
33,0.3385502784989758
34,0.3354208899868859
35,0.32856863503362616
36,0.3252679716008421
37,0.32165061073755125
38,0.3150905553811516
39,0.3165518932677562
40,0.30758446591352323
41,0.3061661767998552
42,0.3065607941877868
43,0.3003651759788102
44,0.30360035530102797
45,0.30910432656865755
46,0.29106281545167395
47,0.2880082613827097
48,0.2892741310310779
49,0.28775261297075316
50,0.2822210714058679
