epoch,train_dice_loss
1,0.7291212413621986
2,0.694075816610585
3,0.6782308873922929
4,0.6414579883865689
5,0.6200512064539868
6,0.579597214512203
7,0.5597576480844747
8,0.5576631634131722
9,0.5256420941456504
10,0.5167096003242161
11,0.49272134796432826
12,0.48328852368437725
13,0.4749309348023456
14,0.44965836872225223
15,0.4468979255012844
16,0.4261901503023894
17,0.42249173962551617
18,0.417604814145876
19,0.4041603894337364
20,0.38036994726761525
21,0.3711544007062912
22,0.3520642805358638
23,0.3299858007742011
24,0.31714105295098344
25,0.3111929871465849
26,0.31698445612969606
27,0.3109723783057669
28,0.3088623106479645
29,0.2889449591222017
30,0.2787168632382932
31,0.2853350430727005
32,0.2977034488449926
33,0.28877574775529946
34,0.2848926765763241
35,0.2700828280137933
36,0.2619148656078007
37,0.2531718562478604
38,0.24356099133906156
39,0.23991542678812275
40,0.23173170569150345
41,0.23400037742179372
42,0.22565598254618438
43,0.22758564858332925
44,0.22049696212229522
45,0.2203377074521521
46,0.228741480604462
47,0.22985213230485502
48,0.21968576636003412
49,0.2265353191158046
50,0.23340424597263337
