epoch,train_dice_loss
1,0.7434488915878793
2,0.7144609102736349
3,0.6906334027000095
4,0.6545077790384707
5,0.6540932945583178
6,0.628971833249797
7,0.6328556454699973
8,0.5993866793487383
9,0.5740722084822862
10,0.5597023408050122
11,0.541894248387088
12,0.5445480985485989
13,0.5332308622805969
14,0.5176933051451392
15,0.5143905919531118
16,0.5077618482320205
17,0.5029621358151021
18,0.494889226037523
19,0.48904165003610695
20,0.48557385296925254
21,0.47864448726177217
22,0.47794857854428496
23,0.4757755882066229
24,0.46612529663935953
25,0.4549424579609995
26,0.45141109072643776
27,0.4473674441161363
28,0.44586197604303773
29,0.44810276174026986
30,0.4427558870419212
31,0.4397878540598828
32,0.43367180681746936
33,0.42863703486712085
34,0.4284479064785916
35,0.4252703816994377
36,0.4096048614901045
37,0.41097966089196825
38,0.4120354047935942
39,0.4228734291118124
40,0.40226463260857953
41,0.39977420723956564
42,0.3911888091460518
43,0.39826911441657853
44,0.39663029831388724
45,0.3941588833928108
46,0.3858448151661002
47,0.38707201429035354
48,0.37605691390193025
49,0.38615382844987123
50,0.3745035125509552
