epoch,train_dice_loss
1,0.7404082427890305
2,0.6441040954456696
3,0.578237395219986
4,0.5409978049795873
5,0.5226896697522042
6,0.5064215403160708
7,0.4917425585562854
8,0.48716003014779213
9,0.47659345187025753
10,0.4716736005966992
11,0.46012512426725855
12,0.4592230281488642
13,0.45585810326780946
14,0.4570855072863647
15,0.44250732774717855
16,0.44396733842387043
17,0.43833097149772376
18,0.43624323798931913
19,0.4290628379656174
20,0.4268878113744979
21,0.4210971589695929
22,0.41821648060859395
23,0.41577145384452313
24,0.4141610572163347
25,0.40214254021852636
26,0.4061809648185916
27,0.39850593539016615
28,0.39742935832466336
29,0.38855126999435624
30,0.3872237981509996
31,0.3801101782663122
32,0.38041128764289833
33,0.3703558095202604
34,0.3707958385738403
35,0.36459052549710863
36,0.37145968002590624
37,0.3607191170905481
38,0.3549930664205218
39,0.3554141843402157
40,0.3564952842852208
41,0.3446101613901881
42,0.339521270199804
43,0.33267216623661616
44,0.32566713548247517
45,0.33609342920946617
46,0.33455519596631617
47,0.32992509397536673
48,0.3235908832277511
49,0.31976471534470197
50,0.30911277335975806
