epoch,train_dice_loss
1,0.7047666550514794
2,0.61048518321485
3,0.5360831802948192
4,0.511443681377807
5,0.4959892666464701
6,0.4855663176710485
7,0.5247506139894222
8,0.48319940094756414
9,0.4672073969458202
10,0.4646091476784951
11,0.4565574407161426
12,0.4491241237776026
13,0.4446724408272049
14,0.4400388541750051
15,0.43965740821748506
16,0.4326409019828883
17,0.42941982230174813
18,0.42762628296490945
19,0.4235332681558519
20,0.42478803211065697
21,0.4305221927831726
22,0.4234634690883896
23,0.40644282014166083
24,0.4168547037696339
25,0.41015861977873463
26,0.4092664709786054
27,0.4136495614655147
28,0.39612794921036165
29,0.39460259878822646
30,0.39530181518087837
31,0.3907519895680912
32,0.38506817521225095
33,0.3869882853243363
34,0.3845001882751575
35,0.3875325051433753
36,0.39474036889134484
37,0.3813424818282768
38,0.3738618380216196
39,0.38329759032106314
40,0.37717273378871496
41,0.3625597024099157
42,0.3713212603569863
43,0.4537495400164972
44,0.39317137572465766
45,0.3735482251664939
46,0.3635281350392114
47,0.35598978257200065
48,0.3439694123690457
49,0.33652084993026227
50,0.3352679866406722
