epoch,train_dice_loss
1,0.6794300453607426
2,0.5873931937439497
3,0.5439666183015635
4,0.5164284778888836
5,0.5052718997521456
6,0.49182807082353636
7,0.48732501597598543
8,0.4783517871658469
9,0.4761196704104889
10,0.46167970795271007
11,0.45649620258184365
12,0.4511950832120208
13,0.43921904742371204
14,0.43021564783398497
15,0.4316729084523611
16,0.4290398218084213
17,0.4210115053452725
18,0.41487629139839216
19,0.4074538218420605
20,0.4056412528247334
21,0.3901779162156027
22,0.3880288645971653
23,0.39334775776017544
24,0.3825246053206366
25,0.38484029896384064
26,0.37406232719158017
27,0.36502484829966414
28,0.3616419505587844
29,0.35320557792519414
30,0.3540686555639949
31,0.3391394782811403
32,0.34567344102055525
33,0.3337708018980054
34,0.3284564306742923
35,0.3371333629759245
36,0.3336895816028118
37,0.3261217070786759
38,0.3153247925517864
39,0.3388943456026704
40,0.31883789546961006
41,0.3078955687842397
42,0.311561621032482
43,0.3043134633971508
44,0.2988259290280037
45,0.28907258301800076
46,0.29844573326408863
47,0.29687348874502406
48,0.2900530560331982
49,0.28373915429205393
50,0.300764502264386
