epoch,train_dice_loss
1,0.7174406298365209
2,0.61953311048302
3,0.5616570046264882
4,0.5542324434698017
5,0.5191482241247215
6,0.5041357809292205
7,0.49560471856256455
8,0.48143380821919907
9,0.47107273970034647
10,0.46694282281632515
11,0.46136981222884066
12,0.4550281694901535
13,0.4474712812822629
14,0.44346114324328684
15,0.43144499671225456
16,0.4266262258969101
17,0.4198961524791967
18,0.4190634018325598
19,0.412735848515122
20,0.39682678985439873
21,0.405373941124914
22,0.3967070415258927
23,0.38775279280406977
24,0.3819593009021547
25,0.37965674789253145
26,0.3674225242958609
27,0.36329347820453395
28,0.3589284311906964
29,0.3507222764047922
30,0.3460256658608098
31,0.3553484427318594
32,0.339274714650152
33,0.33296347898076045
34,0.3415252969220833
35,0.3345699522619933
36,0.33280845674684106
37,0.32458792691786564
38,0.3081722565336165
39,0.31632209983136916
40,0.3096066836373219
41,0.30286168886555564
42,0.3112011903771128
43,0.30538934774388415
44,0.29017450266024647
45,0.292022755852452
46,0.30310278436197435
47,0.3182369074855235
48,0.2978214776074445
49,0.2778021875354979
50,0.2812764461848211
