epoch,train_dice_loss
1,0.7533773463705312
2,0.7488582103148751
3,0.7481376140013986
4,0.7481120824813843
5,0.7497368828110073
6,0.746674560982248
7,0.7459294930748318
8,0.7379011879796568
9,0.7273516654968262
10,0.715757640030073
11,0.7027483427006266
12,0.6958417026892952
13,0.684193810172703
14,0.6643602324568707
15,0.6577129514321037
16,0.6344493321750475
17,0.6237411820370218
18,0.6105238271796185
19,0.5998685582824376
20,0.5779206897901452
21,0.563387106553368
22,0.5469707025134045
23,0.5373867869377136
24,0.538047779124716
25,0.5295781900053439
26,0.515369774206825
27,0.5037363687287206
28,0.48918842155000436
29,0.49208429663077646
30,0.47310035721115445
31,0.4608473637829656
32,0.440687184230141
33,0.4413591513167257
34,0.4301772643690524
35,0.43387937675351684
36,0.4191287406112837
37,0.4208754443604013
38,0.3946360952180365
39,0.3926097345093022
40,0.3765860661216404
41,0.36586860884790834
42,0.35859329739342566
43,0.3457658169062241
44,0.3477212640254394
45,0.37162884525630785
46,0.3765947505183842
47,0.3417132492946542
48,0.3373817603225293
49,0.33271582074787304
50,0.32664213012094084
