epoch,train_dice_loss
1,0.6672963104739031
2,0.5656939582154805
3,0.5323826910937643
4,0.5099440542087089
5,0.4969507038177204
6,0.48573701684387566
7,0.476486174536001
8,0.4611085395330326
9,0.45451087529330564
10,0.4460274624470849
11,0.43808944089042373
12,0.4318814691656755
13,0.4261709579102448
14,0.4127540437546908
15,0.4074960862258758
16,0.4025480916778871
17,0.396044706955006
18,0.3914225636144375
19,0.3832303733153701
20,0.37327182110899615
21,0.37378462665368123
22,0.36042881890949363
23,0.35297448340198756
24,0.3515962980700621
25,0.345348120099795
26,0.33465080974821854
27,0.33914776162015203
28,0.3355344159180789
29,0.32103960899990475
30,0.31946245540603085
31,0.31109022477846493
32,0.3096218667729363
33,0.3139605029091161
34,0.2969638136512946
35,0.3007872987532075
36,0.29429425452600183
37,0.29843769517660557
38,0.296047096373107
39,0.29224278316239827
40,0.28097580781573817
41,0.2810804349017601
42,0.2790908003924821
43,0.2840523106057398
44,0.2738879863400318
45,0.27225163649202017
46,0.2706975377250924
47,0.26272457936879434
48,0.2652866150956295
49,0.26225553741629837
50,0.27016414189629945
