epoch,train_dice_loss
1,0.7081270549608314
2,0.6539171496163244
3,0.600872159263362
4,0.5687922463468883
5,0.5440398912066998
6,0.5237203320731287
7,0.5082404951686444
8,0.4936586782336235
9,0.4783768425817075
10,0.46805934685727824
11,0.44929585482763207
12,0.44552379911360535
13,0.43943348876808
14,0.4234817446573921
15,0.40893005275208016
16,0.409503619696783
17,0.39245404160541036
18,0.37427447930626245
19,0.356452170662258
20,0.3475001122640527
21,0.32892354597216067
22,0.33245544990767606
23,0.32027410547370494
24,0.32355786561965943
25,0.3041945468472398
26,0.2910297169633534
27,0.27925222658592724
28,0.2749185083353001
29,0.2785387541288915
30,0.2741148710898731
31,0.3006660248922265
32,0.27044524122839386
33,0.2526729026566381
34,0.2491391067919524
35,0.25500077171170193
36,0.24956539344528447
37,0.24199970053589862
38,0.23666147045467212
39,0.23201264557631118
40,0.22760010031254396
41,0.2270231754883476
42,0.2566023398352706
43,0.2581767813667007
44,0.2454758406981178
45,0.23274700874867646
46,0.21662005833957507
47,0.21899620488933894
48,0.2291947463284368
49,0.23053022953479185
50,0.21857331978238148
