=================================
Running configuration:
Model: Linknet
Aug Multiplier: 3
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313219_17
Train size after augmentation: 5499
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7103
Epoch 2: Train Dice Loss=0.6177
Epoch 3: Train Dice Loss=0.5643
Epoch 4: Train Dice Loss=0.5410
Epoch 5: Train Dice Loss=0.5358
Epoch 6: Train Dice Loss=0.5065
Epoch 7: Train Dice Loss=0.5021
Epoch 8: Train Dice Loss=0.4870
Epoch 9: Train Dice Loss=0.4853
Epoch 10: Train Dice Loss=0.4725
Epoch 11: Train Dice Loss=0.4771
Epoch 12: Train Dice Loss=0.4667
Epoch 13: Train Dice Loss=0.4581
Epoch 14: Train Dice Loss=0.4489
Epoch 15: Train Dice Loss=0.4385
Epoch 16: Train Dice Loss=0.4344
Epoch 17: Train Dice Loss=0.4264
Epoch 18: Train Dice Loss=0.4331
Epoch 19: Train Dice Loss=0.4142
Epoch 20: Train Dice Loss=0.4082
Epoch 21: Train Dice Loss=0.4026
Epoch 22: Train Dice Loss=0.3948
Epoch 23: Train Dice Loss=0.3944
Epoch 24: Train Dice Loss=0.3840
Epoch 25: Train Dice Loss=0.3841
Epoch 26: Train Dice Loss=0.3818
Epoch 27: Train Dice Loss=0.3737
Epoch 28: Train Dice Loss=0.3734
Epoch 29: Train Dice Loss=0.3552
Epoch 30: Train Dice Loss=0.3484
Epoch 31: Train Dice Loss=0.3472
Epoch 32: Train Dice Loss=0.3513
Epoch 33: Train Dice Loss=0.3413
Epoch 34: Train Dice Loss=0.3311
Epoch 35: Train Dice Loss=0.3267
Epoch 36: Train Dice Loss=0.3213
Epoch 37: Train Dice Loss=0.3100
Epoch 38: Train Dice Loss=0.3251
Epoch 39: Train Dice Loss=0.3156
Epoch 40: Train Dice Loss=0.3110
Epoch 41: Train Dice Loss=0.3158
Epoch 42: Train Dice Loss=0.2989
Epoch 43: Train Dice Loss=0.2906
Epoch 44: Train Dice Loss=0.2927
Epoch 45: Train Dice Loss=0.2892
Epoch 46: Train Dice Loss=0.2927
Epoch 47: Train Dice Loss=0.2845
Epoch 48: Train Dice Loss=0.2877
Epoch 49: Train Dice Loss=0.2905
Epoch 50: Train Dice Loss=0.2819
Saved results for Linknet with augmentation x3
