=================================
Running configuration:
Model: PSPNet
Aug Multiplier: 2
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313228_26
Train size after augmentation: 3666
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7418
Epoch 2: Train Dice Loss=0.7039
Epoch 3: Train Dice Loss=0.6666
Epoch 4: Train Dice Loss=0.6229
Epoch 5: Train Dice Loss=0.6087
Epoch 6: Train Dice Loss=0.5842
Epoch 7: Train Dice Loss=0.5584
Epoch 8: Train Dice Loss=0.5533
Epoch 9: Train Dice Loss=0.5437
Epoch 10: Train Dice Loss=0.5259
Epoch 11: Train Dice Loss=0.5114
Epoch 12: Train Dice Loss=0.5074
Epoch 13: Train Dice Loss=0.4990
Epoch 14: Train Dice Loss=0.5072
Epoch 15: Train Dice Loss=0.4798
Epoch 16: Train Dice Loss=0.4794
Epoch 17: Train Dice Loss=0.4731
Epoch 18: Train Dice Loss=0.4666
Epoch 19: Train Dice Loss=0.4523
Epoch 20: Train Dice Loss=0.4311
Epoch 21: Train Dice Loss=0.4294
Epoch 22: Train Dice Loss=0.4138
Epoch 23: Train Dice Loss=0.4098
Epoch 24: Train Dice Loss=0.4111
Epoch 25: Train Dice Loss=0.3967
Epoch 26: Train Dice Loss=0.3848
Epoch 27: Train Dice Loss=0.3856
Epoch 28: Train Dice Loss=0.3692
Epoch 29: Train Dice Loss=0.3603
Epoch 30: Train Dice Loss=0.3509
Epoch 31: Train Dice Loss=0.3545
Epoch 32: Train Dice Loss=0.3455
Epoch 33: Train Dice Loss=0.3375
Epoch 34: Train Dice Loss=0.3430
Epoch 35: Train Dice Loss=0.3338
Epoch 36: Train Dice Loss=0.3220
Epoch 37: Train Dice Loss=0.3225
Epoch 38: Train Dice Loss=0.3175
Epoch 39: Train Dice Loss=0.3158
Epoch 40: Train Dice Loss=0.3050
Epoch 41: Train Dice Loss=0.3064
Epoch 42: Train Dice Loss=0.3010
Epoch 43: Train Dice Loss=0.3002
Epoch 44: Train Dice Loss=0.2956
Epoch 45: Train Dice Loss=0.3077
Epoch 46: Train Dice Loss=0.3136
Epoch 47: Train Dice Loss=0.2999
Epoch 48: Train Dice Loss=0.3116
Epoch 49: Train Dice Loss=0.2905
Epoch 50: Train Dice Loss=0.2774
Saved results for PSPNet with augmentation x2
