=================================
Running configuration:
Model: Unet
Aug Multiplier: 5
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313206_4
Train size after augmentation: 9165
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.6792
Epoch 2: Train Dice Loss=0.5924
Epoch 3: Train Dice Loss=0.5407
Epoch 4: Train Dice Loss=0.5132
Epoch 5: Train Dice Loss=0.4913
Epoch 6: Train Dice Loss=0.4858
Epoch 7: Train Dice Loss=0.4755
Epoch 8: Train Dice Loss=0.4755
Epoch 9: Train Dice Loss=0.4656
Epoch 10: Train Dice Loss=0.4562
Epoch 11: Train Dice Loss=0.4505
Epoch 12: Train Dice Loss=0.4479
Epoch 13: Train Dice Loss=0.4399
Epoch 14: Train Dice Loss=0.4364
Epoch 15: Train Dice Loss=0.4365
Epoch 16: Train Dice Loss=0.4317
Epoch 17: Train Dice Loss=0.4262
Epoch 18: Train Dice Loss=0.4181
Epoch 19: Train Dice Loss=0.4175
Epoch 20: Train Dice Loss=0.4124
Epoch 21: Train Dice Loss=0.4101
Epoch 22: Train Dice Loss=0.4056
Epoch 23: Train Dice Loss=0.3939
Epoch 24: Train Dice Loss=0.3965
Epoch 25: Train Dice Loss=0.3855
Epoch 26: Train Dice Loss=0.3890
Epoch 27: Train Dice Loss=0.3809
Epoch 28: Train Dice Loss=0.3800
Epoch 29: Train Dice Loss=0.3783
Epoch 30: Train Dice Loss=0.3718
Epoch 31: Train Dice Loss=0.3669
Epoch 32: Train Dice Loss=0.3614
Epoch 33: Train Dice Loss=0.3577
Epoch 34: Train Dice Loss=0.3533
Epoch 35: Train Dice Loss=0.3726
Epoch 36: Train Dice Loss=0.3559
Epoch 37: Train Dice Loss=0.3584
Epoch 38: Train Dice Loss=0.3388
Epoch 39: Train Dice Loss=0.3337
Epoch 40: Train Dice Loss=0.3396
Epoch 41: Train Dice Loss=0.3404
Epoch 42: Train Dice Loss=0.3348
Epoch 43: Train Dice Loss=0.3271
Epoch 44: Train Dice Loss=0.3143
Epoch 45: Train Dice Loss=0.3233
Epoch 46: Train Dice Loss=0.3246
Epoch 47: Train Dice Loss=0.3142
Epoch 48: Train Dice Loss=0.3216
Epoch 49: Train Dice Loss=0.3176
Epoch 50: Train Dice Loss=0.3166
Saved results for Unet with augmentation x5
