=================================
Running configuration:
Model: PSPNet
Aug Multiplier: 4
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313230_28
Train size after augmentation: 7332
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7517
Epoch 2: Train Dice Loss=0.7475
Epoch 3: Train Dice Loss=0.7244
Epoch 4: Train Dice Loss=0.6756
Epoch 5: Train Dice Loss=0.6087
Epoch 6: Train Dice Loss=0.5701
Epoch 7: Train Dice Loss=0.5442
Epoch 8: Train Dice Loss=0.5279
Epoch 9: Train Dice Loss=0.5201
Epoch 10: Train Dice Loss=0.5079
Epoch 11: Train Dice Loss=0.4993
Epoch 12: Train Dice Loss=0.4938
Epoch 13: Train Dice Loss=0.4835
Epoch 14: Train Dice Loss=0.4789
Epoch 15: Train Dice Loss=0.4717
Epoch 16: Train Dice Loss=0.4586
Epoch 17: Train Dice Loss=0.4519
Epoch 18: Train Dice Loss=0.4445
Epoch 19: Train Dice Loss=0.4433
Epoch 20: Train Dice Loss=0.4355
Epoch 21: Train Dice Loss=0.4269
Epoch 22: Train Dice Loss=0.4157
Epoch 23: Train Dice Loss=0.4037
Epoch 24: Train Dice Loss=0.4050
Epoch 25: Train Dice Loss=0.3944
Epoch 26: Train Dice Loss=0.3978
Epoch 27: Train Dice Loss=0.3833
Epoch 28: Train Dice Loss=0.3798
Epoch 29: Train Dice Loss=0.3700
Epoch 30: Train Dice Loss=0.3658
Epoch 31: Train Dice Loss=0.3589
Epoch 32: Train Dice Loss=0.3503
Epoch 33: Train Dice Loss=0.3417
Epoch 34: Train Dice Loss=0.3441
Epoch 35: Train Dice Loss=0.3379
Epoch 36: Train Dice Loss=0.3364
Epoch 37: Train Dice Loss=0.3329
Epoch 38: Train Dice Loss=0.3282
Epoch 39: Train Dice Loss=0.3224
Epoch 40: Train Dice Loss=0.3334
Epoch 41: Train Dice Loss=0.3228
Epoch 42: Train Dice Loss=0.3136
Epoch 43: Train Dice Loss=0.3099
Epoch 44: Train Dice Loss=0.3036
Epoch 45: Train Dice Loss=0.3020
Epoch 46: Train Dice Loss=0.3049
Epoch 47: Train Dice Loss=0.2999
Epoch 48: Train Dice Loss=0.2953
Epoch 49: Train Dice Loss=0.2891
Epoch 50: Train Dice Loss=0.2900
Saved results for PSPNet with augmentation x4
