=================================
Running configuration:
Model: UnetPlusPlus
Aug Multiplier: 1
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313207_5
Train size after augmentation: 1833
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7479
Epoch 2: Train Dice Loss=0.7147
Epoch 3: Train Dice Loss=0.6979
Epoch 4: Train Dice Loss=0.6781
Epoch 5: Train Dice Loss=0.6635
Epoch 6: Train Dice Loss=0.6470
Epoch 7: Train Dice Loss=0.6221
Epoch 8: Train Dice Loss=0.6079
Epoch 9: Train Dice Loss=0.5894
Epoch 10: Train Dice Loss=0.5684
Epoch 11: Train Dice Loss=0.5565
Epoch 12: Train Dice Loss=0.5443
Epoch 13: Train Dice Loss=0.5356
Epoch 14: Train Dice Loss=0.5143
Epoch 15: Train Dice Loss=0.5123
Epoch 16: Train Dice Loss=0.5116
Epoch 17: Train Dice Loss=0.5044
Epoch 18: Train Dice Loss=0.4820
Epoch 19: Train Dice Loss=0.4756
Epoch 20: Train Dice Loss=0.4746
Epoch 21: Train Dice Loss=0.4566
Epoch 22: Train Dice Loss=0.4559
Epoch 23: Train Dice Loss=0.4647
Epoch 24: Train Dice Loss=0.4372
Epoch 25: Train Dice Loss=0.4359
Epoch 26: Train Dice Loss=0.4153
Epoch 27: Train Dice Loss=0.4057
Epoch 28: Train Dice Loss=0.3980
Epoch 29: Train Dice Loss=0.3892
Epoch 30: Train Dice Loss=0.3976
Epoch 31: Train Dice Loss=0.3911
Epoch 32: Train Dice Loss=0.3858
Epoch 33: Train Dice Loss=0.3625
Epoch 34: Train Dice Loss=0.4370
Epoch 35: Train Dice Loss=0.3816
Epoch 36: Train Dice Loss=0.3689
Epoch 37: Train Dice Loss=0.3565
Epoch 38: Train Dice Loss=0.3378
Epoch 39: Train Dice Loss=0.3637
Epoch 40: Train Dice Loss=0.3428
Epoch 41: Train Dice Loss=0.3270
Epoch 42: Train Dice Loss=0.3119
Epoch 43: Train Dice Loss=0.3133
Epoch 44: Train Dice Loss=0.3075
Epoch 45: Train Dice Loss=0.3030
Epoch 46: Train Dice Loss=0.3105
Epoch 47: Train Dice Loss=0.2919
Epoch 48: Train Dice Loss=0.2879
Epoch 49: Train Dice Loss=0.2920
Epoch 50: Train Dice Loss=0.2839
Saved results for UnetPlusPlus with augmentation x1
