=================================
Running configuration:
Model: Linknet
Aug Multiplier: 2
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313218_16
Train size after augmentation: 3666
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7809
Epoch 2: Train Dice Loss=0.7291
Epoch 3: Train Dice Loss=0.6973
Epoch 4: Train Dice Loss=0.6600
Epoch 5: Train Dice Loss=0.6354
Epoch 6: Train Dice Loss=0.5992
Epoch 7: Train Dice Loss=0.5718
Epoch 8: Train Dice Loss=0.5526
Epoch 9: Train Dice Loss=0.5386
Epoch 10: Train Dice Loss=0.5219
Epoch 11: Train Dice Loss=0.5070
Epoch 12: Train Dice Loss=0.5033
Epoch 13: Train Dice Loss=0.4921
Epoch 14: Train Dice Loss=0.4770
Epoch 15: Train Dice Loss=0.4826
Epoch 16: Train Dice Loss=0.4611
Epoch 17: Train Dice Loss=0.4606
Epoch 18: Train Dice Loss=0.4488
Epoch 19: Train Dice Loss=0.4452
Epoch 20: Train Dice Loss=0.4482
Epoch 21: Train Dice Loss=0.4414
Epoch 22: Train Dice Loss=0.4263
Epoch 23: Train Dice Loss=0.4208
Epoch 24: Train Dice Loss=0.4078
Epoch 25: Train Dice Loss=0.4146
Epoch 26: Train Dice Loss=0.3979
Epoch 27: Train Dice Loss=0.3795
Epoch 28: Train Dice Loss=0.3754
Epoch 29: Train Dice Loss=0.3681
Epoch 30: Train Dice Loss=0.3668
Epoch 31: Train Dice Loss=0.3639
Epoch 32: Train Dice Loss=0.3522
Epoch 33: Train Dice Loss=0.3569
Epoch 34: Train Dice Loss=0.3470
Epoch 35: Train Dice Loss=0.3528
Epoch 36: Train Dice Loss=0.3297
Epoch 37: Train Dice Loss=0.3214
Epoch 38: Train Dice Loss=0.3181
Epoch 39: Train Dice Loss=0.3153
Epoch 40: Train Dice Loss=0.3190
Epoch 41: Train Dice Loss=0.3179
Epoch 42: Train Dice Loss=0.3227
Epoch 43: Train Dice Loss=0.3193
Epoch 44: Train Dice Loss=0.3031
Epoch 45: Train Dice Loss=0.3126
Epoch 46: Train Dice Loss=0.2955
Epoch 47: Train Dice Loss=0.2960
Epoch 48: Train Dice Loss=0.2859
Epoch 49: Train Dice Loss=0.2947
Epoch 50: Train Dice Loss=0.2847
Saved results for Linknet with augmentation x2
