=================================
Running configuration:
Model: Linknet
Aug Multiplier: 5
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313221_19
Train size after augmentation: 9165
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7404
Epoch 2: Train Dice Loss=0.6441
Epoch 3: Train Dice Loss=0.5782
Epoch 4: Train Dice Loss=0.5410
Epoch 5: Train Dice Loss=0.5227
Epoch 6: Train Dice Loss=0.5064
Epoch 7: Train Dice Loss=0.4917
Epoch 8: Train Dice Loss=0.4872
Epoch 9: Train Dice Loss=0.4766
Epoch 10: Train Dice Loss=0.4717
Epoch 11: Train Dice Loss=0.4601
Epoch 12: Train Dice Loss=0.4592
Epoch 13: Train Dice Loss=0.4559
Epoch 14: Train Dice Loss=0.4571
Epoch 15: Train Dice Loss=0.4425
Epoch 16: Train Dice Loss=0.4440
Epoch 17: Train Dice Loss=0.4383
Epoch 18: Train Dice Loss=0.4362
Epoch 19: Train Dice Loss=0.4291
Epoch 20: Train Dice Loss=0.4269
Epoch 21: Train Dice Loss=0.4211
Epoch 22: Train Dice Loss=0.4182
Epoch 23: Train Dice Loss=0.4158
Epoch 24: Train Dice Loss=0.4142
Epoch 25: Train Dice Loss=0.4021
Epoch 26: Train Dice Loss=0.4062
Epoch 27: Train Dice Loss=0.3985
Epoch 28: Train Dice Loss=0.3974
Epoch 29: Train Dice Loss=0.3886
Epoch 30: Train Dice Loss=0.3872
Epoch 31: Train Dice Loss=0.3801
Epoch 32: Train Dice Loss=0.3804
Epoch 33: Train Dice Loss=0.3704
Epoch 34: Train Dice Loss=0.3708
Epoch 35: Train Dice Loss=0.3646
Epoch 36: Train Dice Loss=0.3715
Epoch 37: Train Dice Loss=0.3607
Epoch 38: Train Dice Loss=0.3550
Epoch 39: Train Dice Loss=0.3554
Epoch 40: Train Dice Loss=0.3565
Epoch 41: Train Dice Loss=0.3446
Epoch 42: Train Dice Loss=0.3395
Epoch 43: Train Dice Loss=0.3327
Epoch 44: Train Dice Loss=0.3257
Epoch 45: Train Dice Loss=0.3361
Epoch 46: Train Dice Loss=0.3346
Epoch 47: Train Dice Loss=0.3299
Epoch 48: Train Dice Loss=0.3236
Epoch 49: Train Dice Loss=0.3198
Epoch 50: Train Dice Loss=0.3091
Saved results for Linknet with augmentation x5
