=================================
Running configuration:
Model: PAN
Aug Multiplier: 1
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313232_30
Train size after augmentation: 1833
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7291
Epoch 2: Train Dice Loss=0.6941
Epoch 3: Train Dice Loss=0.6782
Epoch 4: Train Dice Loss=0.6415
Epoch 5: Train Dice Loss=0.6201
Epoch 6: Train Dice Loss=0.5796
Epoch 7: Train Dice Loss=0.5598
Epoch 8: Train Dice Loss=0.5577
Epoch 9: Train Dice Loss=0.5256
Epoch 10: Train Dice Loss=0.5167
Epoch 11: Train Dice Loss=0.4927
Epoch 12: Train Dice Loss=0.4833
Epoch 13: Train Dice Loss=0.4749
Epoch 14: Train Dice Loss=0.4497
Epoch 15: Train Dice Loss=0.4469
Epoch 16: Train Dice Loss=0.4262
Epoch 17: Train Dice Loss=0.4225
Epoch 18: Train Dice Loss=0.4176
Epoch 19: Train Dice Loss=0.4042
Epoch 20: Train Dice Loss=0.3804
Epoch 21: Train Dice Loss=0.3712
Epoch 22: Train Dice Loss=0.3521
Epoch 23: Train Dice Loss=0.3300
Epoch 24: Train Dice Loss=0.3171
Epoch 25: Train Dice Loss=0.3112
Epoch 26: Train Dice Loss=0.3170
Epoch 27: Train Dice Loss=0.3110
Epoch 28: Train Dice Loss=0.3089
Epoch 29: Train Dice Loss=0.2889
Epoch 30: Train Dice Loss=0.2787
Epoch 31: Train Dice Loss=0.2853
Epoch 32: Train Dice Loss=0.2977
Epoch 33: Train Dice Loss=0.2888
Epoch 34: Train Dice Loss=0.2849
Epoch 35: Train Dice Loss=0.2701
Epoch 36: Train Dice Loss=0.2619
Epoch 37: Train Dice Loss=0.2532
Epoch 38: Train Dice Loss=0.2436
Epoch 39: Train Dice Loss=0.2399
Epoch 40: Train Dice Loss=0.2317
Epoch 41: Train Dice Loss=0.2340
Epoch 42: Train Dice Loss=0.2257
Epoch 43: Train Dice Loss=0.2276
Epoch 44: Train Dice Loss=0.2205
Epoch 45: Train Dice Loss=0.2203
Epoch 46: Train Dice Loss=0.2287
Epoch 47: Train Dice Loss=0.2299
Epoch 48: Train Dice Loss=0.2197
Epoch 49: Train Dice Loss=0.2265
Epoch 50: Train Dice Loss=0.2334
Saved results for PAN with augmentation x1
