=================================
Running configuration:
Model: FPN
Aug Multiplier: 3
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313224_22
Train size after augmentation: 5499
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7515
Epoch 2: Train Dice Loss=0.7513
Epoch 3: Train Dice Loss=0.7513
Epoch 4: Train Dice Loss=0.7513
Epoch 5: Train Dice Loss=0.7496
Epoch 6: Train Dice Loss=0.7472
Epoch 7: Train Dice Loss=0.7308
Epoch 8: Train Dice Loss=0.6966
Epoch 9: Train Dice Loss=0.6502
Epoch 10: Train Dice Loss=0.6075
Epoch 11: Train Dice Loss=0.5758
Epoch 12: Train Dice Loss=0.5550
Epoch 13: Train Dice Loss=0.5359
Epoch 14: Train Dice Loss=0.5244
Epoch 15: Train Dice Loss=0.5062
Epoch 16: Train Dice Loss=0.4940
Epoch 17: Train Dice Loss=0.4852
Epoch 18: Train Dice Loss=0.4713
Epoch 19: Train Dice Loss=0.4609
Epoch 20: Train Dice Loss=0.4653
Epoch 21: Train Dice Loss=0.4521
Epoch 22: Train Dice Loss=0.4397
Epoch 23: Train Dice Loss=0.4309
Epoch 24: Train Dice Loss=0.4212
Epoch 25: Train Dice Loss=0.4142
Epoch 26: Train Dice Loss=0.3986
Epoch 27: Train Dice Loss=0.3908
Epoch 28: Train Dice Loss=0.3864
Epoch 29: Train Dice Loss=0.3716
Epoch 30: Train Dice Loss=0.3614
Epoch 31: Train Dice Loss=0.3579
Epoch 32: Train Dice Loss=0.3452
Epoch 33: Train Dice Loss=0.3399
Epoch 34: Train Dice Loss=0.3325
Epoch 35: Train Dice Loss=0.3328
Epoch 36: Train Dice Loss=0.3285
Epoch 37: Train Dice Loss=0.3106
Epoch 38: Train Dice Loss=0.3043
Epoch 39: Train Dice Loss=0.3122
Epoch 40: Train Dice Loss=0.2984
Epoch 41: Train Dice Loss=0.2944
Epoch 42: Train Dice Loss=0.2937
Epoch 43: Train Dice Loss=0.2810
Epoch 44: Train Dice Loss=0.2863
Epoch 45: Train Dice Loss=0.3002
Epoch 46: Train Dice Loss=0.2853
Epoch 47: Train Dice Loss=0.2704
Epoch 48: Train Dice Loss=0.2645
Epoch 49: Train Dice Loss=0.2622
Epoch 50: Train Dice Loss=0.2586
Saved results for FPN with augmentation x3
