=================================
Running configuration:
Model: Linknet
Aug Multiplier: 1
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313217_15
Train size after augmentation: 1833
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7888
Epoch 2: Train Dice Loss=0.7395
Epoch 3: Train Dice Loss=0.7187
Epoch 4: Train Dice Loss=0.6965
Epoch 5: Train Dice Loss=0.6734
Epoch 6: Train Dice Loss=0.6607
Epoch 7: Train Dice Loss=0.6299
Epoch 8: Train Dice Loss=0.6273
Epoch 9: Train Dice Loss=0.6138
Epoch 10: Train Dice Loss=0.5905
Epoch 11: Train Dice Loss=0.5792
Epoch 12: Train Dice Loss=0.5620
Epoch 13: Train Dice Loss=0.5623
Epoch 14: Train Dice Loss=0.5448
Epoch 15: Train Dice Loss=0.5304
Epoch 16: Train Dice Loss=0.5227
Epoch 17: Train Dice Loss=0.5208
Epoch 18: Train Dice Loss=0.5040
Epoch 19: Train Dice Loss=0.5010
Epoch 20: Train Dice Loss=0.4963
Epoch 21: Train Dice Loss=0.4921
Epoch 22: Train Dice Loss=0.4771
Epoch 23: Train Dice Loss=0.4730
Epoch 24: Train Dice Loss=0.4852
Epoch 25: Train Dice Loss=0.4570
Epoch 26: Train Dice Loss=0.4362
Epoch 27: Train Dice Loss=0.4386
Epoch 28: Train Dice Loss=0.4345
Epoch 29: Train Dice Loss=0.4075
Epoch 30: Train Dice Loss=0.4080
Epoch 31: Train Dice Loss=0.4126
Epoch 32: Train Dice Loss=0.3921
Epoch 33: Train Dice Loss=0.3812
Epoch 34: Train Dice Loss=0.3660
Epoch 35: Train Dice Loss=0.3681
Epoch 36: Train Dice Loss=0.3886
Epoch 37: Train Dice Loss=0.3678
Epoch 38: Train Dice Loss=0.3387
Epoch 39: Train Dice Loss=0.3483
Epoch 40: Train Dice Loss=0.3327
Epoch 41: Train Dice Loss=0.3200
Epoch 42: Train Dice Loss=0.3226
Epoch 43: Train Dice Loss=0.3090
Epoch 44: Train Dice Loss=0.3085
Epoch 45: Train Dice Loss=0.2922
Epoch 46: Train Dice Loss=0.3208
Epoch 47: Train Dice Loss=0.3205
Epoch 48: Train Dice Loss=0.2867
Epoch 49: Train Dice Loss=0.2998
Epoch 50: Train Dice Loss=0.2736
Saved results for Linknet with augmentation x1
