=================================
Running configuration:
Model: Unet
Aug Multiplier: 2
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313203_1
Train size after augmentation: 3666
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7478
Epoch 2: Train Dice Loss=0.7113
Epoch 3: Train Dice Loss=0.6778
Epoch 4: Train Dice Loss=0.6444
Epoch 5: Train Dice Loss=0.6222
Epoch 6: Train Dice Loss=0.6235
Epoch 7: Train Dice Loss=0.5871
Epoch 8: Train Dice Loss=0.5823
Epoch 9: Train Dice Loss=0.5635
Epoch 10: Train Dice Loss=0.5432
Epoch 11: Train Dice Loss=0.5371
Epoch 12: Train Dice Loss=0.5251
Epoch 13: Train Dice Loss=0.5083
Epoch 14: Train Dice Loss=0.5052
Epoch 15: Train Dice Loss=0.4936
Epoch 16: Train Dice Loss=0.4938
Epoch 17: Train Dice Loss=0.4902
Epoch 18: Train Dice Loss=0.4726
Epoch 19: Train Dice Loss=0.4696
Epoch 20: Train Dice Loss=0.4603
Epoch 21: Train Dice Loss=0.4571
Epoch 22: Train Dice Loss=0.4484
Epoch 23: Train Dice Loss=0.4516
Epoch 24: Train Dice Loss=0.4450
Epoch 25: Train Dice Loss=0.4412
Epoch 26: Train Dice Loss=0.4324
Epoch 27: Train Dice Loss=0.4219
Epoch 28: Train Dice Loss=0.4196
Epoch 29: Train Dice Loss=0.4256
Epoch 30: Train Dice Loss=0.4108
Epoch 31: Train Dice Loss=0.3955
Epoch 32: Train Dice Loss=0.3965
Epoch 33: Train Dice Loss=0.4007
Epoch 34: Train Dice Loss=0.3845
Epoch 35: Train Dice Loss=0.3869
Epoch 36: Train Dice Loss=0.3858
Epoch 37: Train Dice Loss=0.3838
Epoch 38: Train Dice Loss=0.3740
Epoch 39: Train Dice Loss=0.3777
Epoch 40: Train Dice Loss=0.3703
Epoch 41: Train Dice Loss=0.3673
Epoch 42: Train Dice Loss=0.3658
Epoch 43: Train Dice Loss=0.3550
Epoch 44: Train Dice Loss=0.3390
Epoch 45: Train Dice Loss=0.3370
Epoch 46: Train Dice Loss=0.3576
Epoch 47: Train Dice Loss=0.3464
Epoch 48: Train Dice Loss=0.3292
Epoch 49: Train Dice Loss=0.3207
Epoch 50: Train Dice Loss=0.3114
Saved results for Unet with augmentation x2
