=================================
Running configuration:
Model: PAN
Aug Multiplier: 3
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313234_32
Train size after augmentation: 5499
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.6746
Epoch 2: Train Dice Loss=0.5959
Epoch 3: Train Dice Loss=0.5476
Epoch 4: Train Dice Loss=0.5237
Epoch 5: Train Dice Loss=0.5046
Epoch 6: Train Dice Loss=0.4940
Epoch 7: Train Dice Loss=0.4842
Epoch 8: Train Dice Loss=0.4731
Epoch 9: Train Dice Loss=0.4647
Epoch 10: Train Dice Loss=0.4506
Epoch 11: Train Dice Loss=0.4428
Epoch 12: Train Dice Loss=0.4343
Epoch 13: Train Dice Loss=0.4236
Epoch 14: Train Dice Loss=0.4147
Epoch 15: Train Dice Loss=0.4047
Epoch 16: Train Dice Loss=0.3878
Epoch 17: Train Dice Loss=0.3897
Epoch 18: Train Dice Loss=0.3692
Epoch 19: Train Dice Loss=0.3644
Epoch 20: Train Dice Loss=0.3519
Epoch 21: Train Dice Loss=0.3474
Epoch 22: Train Dice Loss=0.3392
Epoch 23: Train Dice Loss=0.3237
Epoch 24: Train Dice Loss=0.3221
Epoch 25: Train Dice Loss=0.3192
Epoch 26: Train Dice Loss=0.3052
Epoch 27: Train Dice Loss=0.2985
Epoch 28: Train Dice Loss=0.3019
Epoch 29: Train Dice Loss=0.2980
Epoch 30: Train Dice Loss=0.2826
Epoch 31: Train Dice Loss=0.2865
Epoch 32: Train Dice Loss=0.2765
Epoch 33: Train Dice Loss=0.2698
Epoch 34: Train Dice Loss=0.2590
Epoch 35: Train Dice Loss=0.2637
Epoch 36: Train Dice Loss=0.2660
Epoch 37: Train Dice Loss=0.2569
Epoch 38: Train Dice Loss=0.2545
Epoch 39: Train Dice Loss=0.2490
Epoch 40: Train Dice Loss=0.2657
Epoch 41: Train Dice Loss=0.2531
Epoch 42: Train Dice Loss=0.2414
Epoch 43: Train Dice Loss=0.2352
Epoch 44: Train Dice Loss=0.2521
Epoch 45: Train Dice Loss=0.2570
Epoch 46: Train Dice Loss=0.2414
Epoch 47: Train Dice Loss=0.2300
Epoch 48: Train Dice Loss=0.2252
Epoch 49: Train Dice Loss=0.2236
Epoch 50: Train Dice Loss=0.2246
Saved results for PAN with augmentation x3
