=================================
Running configuration:
Model: PSPNet
Aug Multiplier: 3
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313229_27
Train size after augmentation: 5499
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7517
Epoch 2: Train Dice Loss=0.7513
Epoch 3: Train Dice Loss=0.7513
Epoch 4: Train Dice Loss=0.7505
Epoch 5: Train Dice Loss=0.7366
Epoch 6: Train Dice Loss=0.7201
Epoch 7: Train Dice Loss=0.6980
Epoch 8: Train Dice Loss=0.6522
Epoch 9: Train Dice Loss=0.6055
Epoch 10: Train Dice Loss=0.5824
Epoch 11: Train Dice Loss=0.5665
Epoch 12: Train Dice Loss=0.5482
Epoch 13: Train Dice Loss=0.5329
Epoch 14: Train Dice Loss=0.5236
Epoch 15: Train Dice Loss=0.5154
Epoch 16: Train Dice Loss=0.5080
Epoch 17: Train Dice Loss=0.4967
Epoch 18: Train Dice Loss=0.4915
Epoch 19: Train Dice Loss=0.4904
Epoch 20: Train Dice Loss=0.4791
Epoch 21: Train Dice Loss=0.4688
Epoch 22: Train Dice Loss=0.4621
Epoch 23: Train Dice Loss=0.4543
Epoch 24: Train Dice Loss=0.4424
Epoch 25: Train Dice Loss=0.4430
Epoch 26: Train Dice Loss=0.4348
Epoch 27: Train Dice Loss=0.4258
Epoch 28: Train Dice Loss=0.4200
Epoch 29: Train Dice Loss=0.4134
Epoch 30: Train Dice Loss=0.4099
Epoch 31: Train Dice Loss=0.3982
Epoch 32: Train Dice Loss=0.4020
Epoch 33: Train Dice Loss=0.3928
Epoch 34: Train Dice Loss=0.3823
Epoch 35: Train Dice Loss=0.3766
Epoch 36: Train Dice Loss=0.3719
Epoch 37: Train Dice Loss=0.3612
Epoch 38: Train Dice Loss=0.3577
Epoch 39: Train Dice Loss=0.3484
Epoch 40: Train Dice Loss=0.3413
Epoch 41: Train Dice Loss=0.3411
Epoch 42: Train Dice Loss=0.3429
Epoch 43: Train Dice Loss=0.3349
Epoch 44: Train Dice Loss=0.3302
Epoch 45: Train Dice Loss=0.3302
Epoch 46: Train Dice Loss=0.3227
Epoch 47: Train Dice Loss=0.3188
Epoch 48: Train Dice Loss=0.3150
Epoch 49: Train Dice Loss=0.3131
Epoch 50: Train Dice Loss=0.3064
Saved results for PSPNet with augmentation x3
